"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Sun Dec 11 2016","11.3"
"Fri Nov 24 2017","Fri Dec 02 2016","11.9"
"Mon Dec 11 2017","Mon Apr 10 2017","8.2"
"Thu Dec 14 2017","Mon Apr 10 2017","8.3"
