"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Thu Mar 16 2017","8.1"
"Fri Nov 24 2017","Thu Mar 16 2017","8.5"
"Mon Dec 11 2017","Tue Sep 27 2016","14.7"
