"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Thu Apr 13 2017","8.7"
"Mon Jan 01 2018","Thu Apr 13 2017","8.8"
"Wed Jan 03 2018","Thu Apr 13 2017","8.9"
"Fri Jan 05 2018","Thu Apr 13 2017","8.9"
"Tue Jan 09 2018","Thu Apr 13 2017","9.1"
"Thu Jan 11 2018","Thu Apr 13 2017","9.1"
"Tue Jan 16 2018","Thu Apr 13 2017","9.3"
"Tue Jan 23 2018","Thu Apr 13 2017","9.5"
"Wed Jan 24 2018","Thu Apr 13 2017","9.6"
"Thu Jan 25 2018","Thu Apr 13 2017","9.6"
"Sat Feb 10 2018","Sat Apr 29 2017","9.6"
