"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Tue Jan 10 2017","10.3"
"Fri Nov 24 2017","Sat Feb 04 2017","9.8"
"Mon Dec 11 2017","Tue Feb 28 2017","9.5"
"Thu Dec 14 2017","Sat Apr 22 2017","7.9"
"Mon Dec 18 2017","Wed Apr 19 2017","8.1"
"Tue Dec 19 2017","Tue Jan 10 2017","11.4"
