"Date Recorded","Currently Processing", "Wait Time (months)"
"Sun Dec 31 2017","Thu Mar 16 2017","9.7"
"Mon Jan 01 2018","Thu Mar 16 2017","9.7"
"Wed Jan 03 2018","Thu Mar 16 2017","9.8"
"Fri Jan 05 2018","Thu Mar 16 2017","9.9"
"Tue Jan 09 2018","Thu Mar 16 2017","10.0"
"Thu Jan 11 2018","Thu Mar 16 2017","10.0"
"Tue Jan 16 2018","Thu Mar 16 2017","10.2"
"Tue Jan 23 2018","Thu Mar 16 2017","10.5"
