"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Thu Feb 09 2017","9.3"
"Fri Nov 24 2017","Thu Jan 26 2017","10.1"
"Mon Dec 11 2017","Tue Apr 18 2017","7.9"
"Thu Dec 14 2017","Tue Dec 06 2016","12.4"
"Mon Dec 18 2017","Thu Jan 26 2017","10.9"
"Tue Dec 19 2017","Fri Sep 09 2016","15.5"
"Thu Dec 28 2017","Mon Apr 24 2017","8.3"
