"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Wed Jan 11 2017","10.3"
"Fri Nov 24 2017","Sat Feb 04 2017","9.8"
"Mon Dec 11 2017","Thu Apr 06 2017","8.3"
"Thu Dec 14 2017","Fri Nov 18 2016","13.0"
"Mon Dec 18 2017","Wed Jan 11 2017","11.4"
"Tue Dec 19 2017","Sat Mar 25 2017","9.0"
"Thu Dec 28 2017","Sat Feb 11 2017","10.7"
