"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Mon Dec 26 2016","10.8"
"Fri Nov 24 2017","Mon Feb 06 2017","9.7"
"Mon Dec 11 2017","Mon May 01 2017","7.5"
