"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Fri Mar 10 2017","8.3"
"Fri Nov 24 2017","Thu Apr 06 2017","7.8"
"Mon Dec 11 2017","Sun Dec 25 2016","11.7"
"Thu Dec 14 2017","Sat Dec 03 2016","12.5"
"Mon Dec 18 2017","Sun Dec 25 2016","11.9"
"Tue Dec 19 2017","Tue Dec 06 2016","12.6"
