"Date Recorded","Currently Processing", "Wait Time (months)"
"Tue Nov 14 2017","Wed Mar 15 2017","8.2"
"Fri Nov 24 2017","Fri Dec 23 2016","11.2"
"Mon Dec 11 2017","Sun Dec 25 2016","11.7"
"Thu Dec 14 2017","Sat Mar 25 2017","8.8"
"Mon Dec 18 2017","Thu Jan 12 2017","11.3"
"Tue Dec 19 2017","Thu Apr 06 2017","8.6"
